id,latitude,longitude,X,Y
01001,46.1534255214,4.92611354223,848637.2613672024,6563324.7890117215
01002,46.0091878776,5.42801696363,887850.4132864142,6548382.506671256
01004,45.9608475114,5.3729257777,883750.7232156976,6542887.141297405
01005,45.9961799872,4.91227250796,847992.214687288,6545841.729020144
01006,45.7494989044,5.59432017366,901659.7750449263,6519968.667997282
01007,46.0055913782,5.35760660735,882416.4825699502,6547818.214943943
01008,45.9367134524,5.3328092349,880724.3232081445,6540115.651166201
01009,45.7873565333,5.65788307924,906457.2716787338,6524334.725241504
01010,45.9093715116,5.79516005674,916636.69210408,6538244.249684301
01011,46.2054981558,5.65781475272,904889.2996427764,6570743.127036689
01012,46.0015344029,5.51130637511,894319.2240784632,6547734.556711094
01013,45.8908155275,5.49870439091,893733.4494544775,6535414.410432027
01014,46.2834936005,5.69061651221,907121.9125992664,6579485.278769108
01016,46.4776762988,4.9599416863,850353.5381707968,6599386.904561453
01015,45.7237621545,5.65263086429,906286.6474823817,6517262.7800370995
01017,45.9337182132,5.48251100314,892328.5709263028,6540136.811489582
01019,45.8541838459,5.58357838695,900444.7989670502,6531560.398224437
01021,45.9934611,4.82199649494,841013.9227568882,6545374.672839102
01022,45.8695891748,5.69065283943,908690.6473304268,6533547.609998975
01023,46.3857281418,4.88387478623,844762.922307245,6589036.532797855
01024,46.2861802203,5.1795233845,867781.22540128,6578570.1890158765
01025,46.3233203302,4.9528678933,850234.8969770824,6582236.865424359
01026,46.3077069231,4.92862084189,848412.2807689911,6580457.625244031
01027,45.8311226453,5.10780019249,863610.0511634969,6527903.773438523
01028,46.1141214445,4.90146475101,846840.5918273226,6558915.197704893
01170,46.1896733539,5.55139781353,896745.3715059602,6568716.075990908
01029,46.4288360203,5.26003405676,873523.9574160929,6594580.325418014
01030,46.0008580204,4.75600664694,835889.2121280556,6546080.187241873
01032,45.8591464826,5.13989505865,866016.3619637561,6531081.697171394
01033,46.1067901755,5.83202736464,918706.7206825056,6560255.395083074
01034,45.7494697806,5.68412365526,908637.7788745684,6520198.749924485
01035,46.2530316409,5.78471723698,914482.0493201733,6576355.661241551
01031,46.2373497134,5.6360052884,903090.5892663824,6574221.9660819415
01036,45.8847475883,5.65115788055,905572.0173804081,6535126.392901898
01037,45.8374974718,5.48285330863,892691.010741591,6529457.57857955
01038,46.3188629218,5.28253433405,875604.0192424243,6582422.220704095
01039,45.8568920052,5.75220315052,913511.7962945895,6532302.972392735
01040,46.3674371012,5.04021655965,856826.6277633897,6587304.440466042
01041,45.9368718303,5.36667617009,883346.7106456727,6540211.306174296
01042,46.2191748844,4.84642690241,842318.3054033078,6570477.450151947
01043,45.8390325448,4.99738002182,855018.7629901213,6528559.091657623
01044,46.0791346715,5.76591818163,913711.0282084362,6557005.145585665
01045,45.9533995502,5.03666479984,857739.4809629109,6541333.245762168
01046,46.2266794269,4.94084673168,849574.0548046336,6571485.118650561
01047,45.8469686113,5.25166055884,874723.5680412967,6529971.00791867
01245,46.1427060662,5.3780109646,883536.2727908479,6563085.326594513
01049,45.8446213549,5.02783224111,857365.7391686337,6529239.766240737
01050,46.3727973545,4.9989764059,853642.2106948796,6587818.445225699
01051,46.1960338503,5.47095075411,890521.8335711437,6569224.786766564
01052,46.0232774841,4.99252709276,854125.9605555497,6549003.528365355
01053,46.2051520382,5.24602125501,873154.8330768449,6569718.946118061
01054,45.8861934456,5.14349196896,866213.8231625024,6534091.734842329
01056,46.0363677631,5.46322744717,890479.5532187449,6551483.748512923
01057,46.4051688134,4.9135797178,846992.7849763368,6591249.747317495
01058,45.6416854652,5.61653371,903782.4957691771,6508059.3914559735
01059,45.9500082947,5.7371892334,911989.1278443895,6542596.869406951
01060,46.0759940484,5.61418361314,902003.079782611,6556257.160597906
01061,45.7135069062,5.68998154517,909228.9644125525,6516222.848192449
01062,45.869423064,5.1009428902,862964.7517105544,6532141.361050561
01063,46.1686327301,5.54656422194,896448.1118292352,6566368.670591513
01064,45.7708330939,5.48537461884,893119.599379129,6522064.281397573
01065,46.2104135162,5.14487465017,865343.1273428348,6570086.216860589
01066,45.8598709332,5.54609714598,897517.502551718,6532097.167814689
01067,46.1256533435,5.49457379202,892589.552879273,6561470.121034673
01068,46.0720202633,5.47577586118,891325.4789177495,6555471.379253577
01069,46.1337950959,5.26239539372,874643.8487783864,6561833.960674931
01071,46.315689376,6.0779844362,936787.7544320403,6584147.176818437
01072,46.1832170988,5.32007207542,878933.6540527779,6567449.151910282
01073,45.8335530148,5.71933090966,911051.8711071623,6529624.348971509
01074,46.0076491739,5.16936568,867849.1528890794,6547629.135810442
01075,46.0340545373,4.79853838574,839096.023381149,6549839.798625833
01076,45.9533367734,5.53682505273,896465.0514732618,6542448.073651002
01077,46.1221539654,5.45755377201,889744.5044271252,6560992.078067358
01078,46.1768358327,5.97115092939,929153.1323257394,6568423.329152542
01079,45.9316447397,5.69321890072,908654.5976219518,6540441.678420345
01080,46.0198844188,5.60008759722,901119.3861409683,6549993.571508989
01081,46.220365768,5.82233573131,917507.8752111632,6572833.24529596
01082,46.005695299,5.76893393185,914229.8724003762,6548862.846832235
01083,46.0934984191,4.85473364691,843286.2441407125,6556539.791925492
01084,46.1861812234,5.02807719246,856410.6436767569,6567158.163047145
01085,46.0744536905,5.02162055898,856230.4245858656,6554742.011864817
01087,46.1856344066,5.6811896084,906765.450680027,6568599.419933397
01088,45.8736786869,5.2211032563,872269.5998353403,6532868.84261342
01089,45.9730390239,5.30754273532,878649.6015726364,6544090.379651084
01090,46.0259402155,5.2048590395,870537.9429583695,6549735.636406465
01091,46.1293337743,5.770176021,913844.3481519865,6562587.897386489
01092,45.9748017433,5.2416027725,873540.3752175649,6544138.995652315
01093,46.1232390685,4.95810003714,851188.2617730012,6560034.294938227
01094,46.4379785193,5.00693749662,854070.012484489,6595070.255957705
01095,46.2750157946,5.41649423093,886055.9268546111,6577861.820837797
01096,46.1991513767,5.0564069258,858557.5099492408,6568654.536285696
01097,45.8824049535,5.72499814516,911304.3596014683,6535061.310233243
01098,45.7925770617,5.68477063188,908525.3164252137,6524984.789679736
01099,45.8929448968,5.25528498524,874858.9325157099,6535082.636234573
01100,45.8227204334,5.6050023969,902221.6109291366,6528122.882472688
01101,46.1103512578,5.58116056005,899327.5415995854,6559986.568270015
01102,46.38249255,4.96288275972,850841.8518294909,6588825.2026661895
01103,46.283152935,6.04707941462,934550.8303692763,6580444.4026455935
01104,46.222573373,5.87248105275,921361.7993299444,6573217.596791967
01105,45.922467454,4.88633786877,846181.0301618911,6537609.986589881
01106,46.2003848172,5.45082526739,888955.5705117704,6569659.373814897
01107,45.902146623,5.43272695486,888580.8633687969,6536512.396860487
